state,climate_zone,activity_type,land_size_hectares,project_age_years,avg_rainfall_mm,forest_cover_pct,soil_organic_carbon,estimated_carbon_credits_tco2e
Chhattisgarh,Humid Subtropical,Reforestation,289.68,9,1400,41.1,Medium,2320.04
Arunachal Pradesh,Subtropical,Regenerative Agriculture,74.53,10,2800,79.3,High,355.45
Sikkim,Subtropical,Afforestation,104.47,5,2700,47.3,High,1027.94
Odisha,Humid Subtropical,Regenerative Agriculture,131.0,8,1500,33.2,Medium,272.11
Punjab,Humid Subtropical,Afforestation,280.89,1,700,3.6,Medium,507.68
Gujarat,Arid,Reforestation,177.65,6,800,7.6,Low,236.45
Chhattisgarh,Humid Subtropical,Afforestation,124.04,4,1400,41.1,Medium,478.24
Madhya Pradesh,Humid Subtropical,Reforestation,289.14,10,1200,25.1,Medium,1922.28
Manipur,Subtropical,Regenerative Agriculture,48.35,9,1500,74.3,Medium,110.45
Arunachal Pradesh,Subtropical,Reforestation,175.56,4,2800,79.3,High,2277.61
Chhattisgarh,Humid Subtropical,Reforestation,387.88,9,1400,41.1,Medium,3088.65
Chhattisgarh,Humid Subtropical,Afforestation,222.96,8,1400,41.1,Medium,1324.95
Kerala,Tropical Wet,Regenerative Agriculture,88.98,8,3000,52.3,High,447.72
Jharkhand,Humid Subtropical,Afforestation,45.45,6,1300,29.6,Medium,204.72
Nagaland,Tropical Wet,Regenerative Agriculture,264.64,8,2000,73.9,High,1071.34
Manipur,Subtropical,Regenerative Agriculture,234.35,1,1500,74.3,Medium,267.82
Nagaland,Tropical Wet,Afforestation,188.86,1,2000,73.9,High,1156.61
Nagaland,Tropical Wet,Afforestation,99.63,3,2000,73.9,High,783.41
Goa,Tropical Wet,Afforestation,129.07,3,2900,60.0,High,1298.8
Telangana,Tropical Dry,Reforestation,318.6,10,950,24.0,Low,1375.16
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,62.28,5,1200,25.1,Medium,79.57
Madhya Pradesh,Humid Subtropical,Afforestation,435.48,7,1200,25.1,Medium,1891.54
Arunachal Pradesh,Subtropical,Afforestation,277.23,4,2800,79.3,High,2622.67
Goa,Tropical Wet,Reforestation,143.22,9,2900,60.0,High,3258.34
Odisha,Humid Subtropical,Afforestation,484.93,9,1500,33.2,Medium,3207.8
Odisha,Humid Subtropical,Regenerative Agriculture,62.72,2,1500,33.2,Medium,78.06
Haryana,Humid Subtropical,Reforestation,31.16,8,600,3.6,Low,106.4
Himachal Pradesh,Subtropical,Afforestation,398.92,4,1600,27.1,Medium,1906.75
Rajasthan,Arid,Reforestation,162.38,7,500,4.8,Very Low,192.12
Himachal Pradesh,Subtropical,Regenerative Agriculture,163.21,7,1600,27.1,Medium,383.13
Madhya Pradesh,Humid Subtropical,Afforestation,153.52,4,1200,25.1,Medium,501.5
West Bengal,Humid Subtropical,Regenerative Agriculture,254.84,4,1750,18.9,Medium,436.19
Rajasthan,Arid,Afforestation,338.47,2,500,4.8,Very Low,228.38
Bihar,Humid Subtropical,Reforestation,297.38,7,1100,7.7,Medium,1497.2
Uttarakhand,Subtropical,Reforestation,307.43,6,1800,45.4,High,3330.56
Goa,Tropical Wet,Reforestation,290.7,9,2900,60.0,High,6551.66
Jharkhand,Humid Subtropical,Reforestation,295.63,7,1300,29.6,Medium,1929.68
Manipur,Subtropical,Afforestation,441.47,10,1500,74.3,Medium,3161.99
Rajasthan,Arid,Reforestation,157.57,9,500,4.8,Very Low,226.48
Rajasthan,Arid,Afforestation,218.07,5,500,4.8,Very Low,199.3
Tripura,Tropical Wet,Reforestation,282.97,8,2200,73.7,Medium,4432.48
Himachal Pradesh,Subtropical,Afforestation,60.6,3,1600,27.1,Medium,291.01
Himachal Pradesh,Subtropical,Reforestation,325.28,3,1600,27.1,Medium,1951.26
Manipur,Subtropical,Reforestation,182.64,1,1500,74.3,Medium,872.95
Uttarakhand,Subtropical,Afforestation,133.24,3,1800,45.4,High,720.43
Tripura,Tropical Wet,Afforestation,213.2,5,2200,73.7,Medium,1757.2
Tamil Nadu,Tropical Dry,Regenerative Agriculture,7.66,4,1000,17.4,Medium,7.08
Uttarakhand,Subtropical,Afforestation,358.36,10,1800,45.4,High,3823.38
Maharashtra,Tropical Dry,Regenerative Agriculture,15.34,1,1100,16.5,Medium,11.12
Assam,Tropical Wet,Regenerative Agriculture,24.45,9,2700,34.2,Medium,120.73
Odisha,Humid Subtropical,Afforestation,231.97,7,1500,33.2,Medium,1231.66
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,85.68,7,1200,25.1,Medium,128.05
Rajasthan,Arid,Afforestation,392.33,1,500,4.8,Very Low,235.41
Kerala,Tropical Wet,Afforestation,313.94,6,3000,52.3,High,4100.74
Maharashtra,Tropical Dry,Regenerative Agriculture,205.28,6,1100,16.5,Medium,247.66
Assam,Tropical Wet,Regenerative Agriculture,42.34,2,2700,34.2,Medium,111.64
West Bengal,Humid Subtropical,Afforestation,435.1,6,1750,18.9,Medium,2629.57
Madhya Pradesh,Humid Subtropical,Reforestation,343.59,2,1200,25.1,Medium,1242.93
Haryana,Humid Subtropical,Afforestation,172.01,3,600,3.6,Low,337.19
Arunachal Pradesh,Subtropical,Afforestation,300.14,6,2800,79.3,High,3222.44
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,199.34,5,1400,41.1,Medium,292.62
Punjab,Humid Subtropical,Afforestation,155.29,7,700,3.6,Medium,484.36
Punjab,Humid Subtropical,Regenerative Agriculture,196.61,4,700,3.6,Medium,148.86
Telangana,Tropical Dry,Regenerative Agriculture,35.92,2,950,24.0,Low,21.15
Arunachal Pradesh,Subtropical,Regenerative Agriculture,61.16,6,2800,79.3,High,231.08
Bihar,Humid Subtropical,Afforestation,498.64,4,1100,7.7,Medium,1764.81
Bihar,Humid Subtropical,Reforestation,147.22,6,1100,7.7,Medium,735.13
Goa,Tropical Wet,Afforestation,143.06,8,2900,60.0,High,2166.57
Nagaland,Tropical Wet,Regenerative Agriculture,125.9,7,2000,73.9,High,470.96
Maharashtra,Tropical Dry,Afforestation,14.83,4,1100,16.5,Medium,39.27
Sikkim,Subtropical,Afforestation,448.87,7,2700,47.3,High,5335.25
Nagaland,Tropical Wet,Regenerative Agriculture,180.14,10,2000,73.9,High,826.97
West Bengal,Humid Subtropical,Reforestation,225.88,4,1750,18.9,Medium,1442.65
Assam,Tropical Wet,Reforestation,36.83,8,2700,34.2,Medium,669.79
Kerala,Tropical Wet,Afforestation,169.36,2,3000,52.3,High,1448.36
Andhra Pradesh,Tropical Dry,Afforestation,481.8,6,900,23.0,Low,1139.59
Himachal Pradesh,Subtropical,Regenerative Agriculture,80.64,9,1600,27.1,Medium,206.09
Mizoram,Tropical Wet,Afforestation,200.88,4,2500,84.5,High,1987.8
Uttar Pradesh,Humid Subtropical,Reforestation,81.52,4,1000,6.1,Medium,297.05
Gujarat,Arid,Regenerative Agriculture,37.39,8,800,7.6,Low,16.13
Bihar,Humid Subtropical,Reforestation,95.21,2,1100,7.7,Medium,318.75
Odisha,Humid Subtropical,Reforestation,252.66,5,1500,33.2,Medium,1739.8
Uttar Pradesh,Humid Subtropical,Afforestation,227.53,9,1000,6.1,Medium,1044.69
Assam,Tropical Wet,Regenerative Agriculture,54.53,2,2700,34.2,Medium,144.24
Uttarakhand,Subtropical,Reforestation,97.57,2,1800,45.4,High,748.94
Bihar,Humid Subtropical,Afforestation,240.44,9,1100,7.7,Medium,1266.82
Mizoram,Tropical Wet,Regenerative Agriculture,280.69,4,2500,84.5,High,1047.68
Himachal Pradesh,Subtropical,Reforestation,120.74,10,1600,27.1,Medium,1236.2
Sikkim,Subtropical,Afforestation,261.11,9,2700,47.3,High,3608.43
Tripura,Tropical Wet,Reforestation,109.44,9,2200,73.7,Medium,1772.52
Karnataka,Tropical Dry,Regenerative Agriculture,219.67,1,1300,20.1,Medium,170.89
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,9.12,7,1000,6.1,Medium,12.13
Telangana,Tropical Dry,Regenerative Agriculture,285.46,6,950,24.0,Low,241.3
Jharkhand,Humid Subtropical,Afforestation,477.63,7,1300,29.6,Medium,2224.1
Maharashtra,Tropical Dry,Afforestation,424.89,8,1100,16.5,Medium,1603.3
Haryana,Humid Subtropical,Reforestation,29.87,2,600,3.6,Low,61.28
Telangana,Tropical Dry,Regenerative Agriculture,219.58,9,950,24.0,Low,234.71
Assam,Tropical Wet,Reforestation,23.61,3,2700,34.2,Medium,289.5
Tripura,Tropical Wet,Reforestation,222.16,1,2200,73.7,Medium,1771.31
Uttarakhand,Subtropical,Reforestation,228.68,9,1800,45.4,High,3001.7
Himachal Pradesh,Subtropical,Regenerative Agriculture,76.49,10,1600,27.1,Medium,201.74
Kerala,Tropical Wet,Reforestation,210.97,10,3000,52.3,High,5205.76
Haryana,Humid Subtropical,Regenerative Agriculture,139.44,1,600,3.6,Low,66.25
Assam,Tropical Wet,Regenerative Agriculture,112.43,5,2700,34.2,Medium,388.35
Arunachal Pradesh,Subtropical,Afforestation,429.72,8,2800,79.3,High,5477.56
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,150.16,4,900,23.0,Low,103.63
Nagaland,Tropical Wet,Regenerative Agriculture,56.54,5,2000,73.9,High,175.12
Jharkhand,Humid Subtropical,Reforestation,293.22,10,1300,29.6,Medium,2332.35
Kerala,Tropical Wet,Afforestation,326.8,5,3000,52.3,High,3917.39
Gujarat,Arid,Regenerative Agriculture,105.03,1,800,7.6,Low,22.41
Sikkim,Subtropical,Afforestation,67.62,6,2700,47.3,High,718.19
Chhattisgarh,Humid Subtropical,Reforestation,244.98,9,1400,41.1,Medium,2144.02
Telangana,Tropical Dry,Regenerative Agriculture,68.11,6,950,24.0,Low,58.48
Himachal Pradesh,Subtropical,Regenerative Agriculture,242.87,4,1600,27.1,Medium,410.3
Goa,Tropical Wet,Afforestation,459.32,9,2900,60.0,High,7358.12
Bihar,Humid Subtropical,Reforestation,258.55,9,1100,7.7,Medium,1597.1
Mizoram,Tropical Wet,Regenerative Agriculture,203.14,10,2500,84.5,High,1123.29
Kerala,Tropical Wet,Reforestation,172.27,7,3000,52.3,High,3303.23
Uttarakhand,Subtropical,Regenerative Agriculture,282.99,7,1800,45.4,High,849.8
Punjab,Humid Subtropical,Reforestation,39.61,3,700,3.6,Medium,110.2
Goa,Tropical Wet,Afforestation,167.41,9,2900,60.0,High,2588.22
Meghalaya,Tropical Wet,Regenerative Agriculture,250.8,6,2800,76.3,High,1121.94
Rajasthan,Arid,Afforestation,108.83,4,500,4.8,Very Low,91.02
Tamil Nadu,Tropical Dry,Reforestation,66.87,3,1000,17.4,Medium,203.98
Assam,Tropical Wet,Afforestation,463.13,9,2700,34.2,Medium,6704.83
Nagaland,Tropical Wet,Afforestation,484.93,5,2000,73.9,High,4556.7
Karnataka,Tropical Dry,Regenerative Agriculture,172.25,6,1300,20.1,Medium,239.91
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,145.2,2,1200,25.1,Medium,144.94
Sikkim,Subtropical,Regenerative Agriculture,167.26,6,2700,47.3,High,630.41
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,204.71,2,1000,6.1,Medium,152.36
Mizoram,Tropical Wet,Regenerative Agriculture,239.11,5,2500,84.5,High,943.68
Sikkim,Subtropical,Reforestation,66.76,3,2700,47.3,High,815.46
Sikkim,Subtropical,Afforestation,339.73,10,2700,47.3,High,4894.72
Haryana,Humid Subtropical,Regenerative Agriculture,291.01,3,600,3.6,Low,179.79
Odisha,Humid Subtropical,Reforestation,40.35,1,1500,33.2,Medium,170.71
Tripura,Tropical Wet,Reforestation,365.44,5,2200,73.7,Medium,4641.97
Meghalaya,Tropical Wet,Reforestation,385.37,3,2800,76.3,High,5320.6
Arunachal Pradesh,Subtropical,Afforestation,282.36,6,2800,79.3,High,3111.41
Telangana,Tropical Dry,Regenerative Agriculture,21.37,4,950,24.0,Low,16.62
Kerala,Tropical Wet,Reforestation,296.67,10,3000,52.3,High,7077.86
Uttarakhand,Subtropical,Afforestation,158.35,10,1800,45.4,High,1622.8
Arunachal Pradesh,Subtropical,Regenerative Agriculture,286.97,3,2800,79.3,High,900.94
Punjab,Humid Subtropical,Reforestation,130.49,9,700,3.6,Medium,573.82
Telangana,Tropical Dry,Regenerative Agriculture,127.28,5,950,24.0,Low,99.73
Rajasthan,Arid,Reforestation,325.66,9,500,4.8,Very Low,445.19
Arunachal Pradesh,Subtropical,Regenerative Agriculture,27.63,2,2800,79.3,High,71.05
Goa,Tropical Wet,Reforestation,276.23,4,2900,60.0,High,4549.23
Sikkim,Subtropical,Reforestation,336.27,10,2700,47.3,High,6842.33
Assam,Tropical Wet,Afforestation,25.69,3,2700,34.2,Medium,221.35
Maharashtra,Tropical Dry,Regenerative Agriculture,129.15,7,1100,16.5,Medium,163.71
Uttarakhand,Subtropical,Reforestation,200.09,10,1800,45.4,High,2817.39
Madhya Pradesh,Humid Subtropical,Reforestation,139.65,7,1200,25.1,Medium,766.52
Meghalaya,Tropical Wet,Regenerative Agriculture,22.15,3,2800,76.3,High,72.41
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,294.6,9,1400,41.1,Medium,591.39
Goa,Tropical Wet,Reforestation,136.3,3,2900,60.0,High,1844.89
Mizoram,Tropical Wet,Reforestation,151.25,10,2500,84.5,High,3442.04
Sikkim,Subtropical,Reforestation,173.45,1,2700,47.3,High,1674.62
Odisha,Humid Subtropical,Reforestation,187.53,4,1500,33.2,Medium,1183.23
Assam,Tropical Wet,Reforestation,307.13,5,2700,34.2,Medium,4379.08
Telangana,Tropical Dry,Afforestation,206.12,8,950,24.0,Low,558.27
Nagaland,Tropical Wet,Afforestation,44.42,8,2000,73.9,High,510.3
Karnataka,Tropical Dry,Regenerative Agriculture,146.68,9,1300,20.1,Medium,254.7
Manipur,Subtropical,Regenerative Agriculture,157.76,7,1500,74.3,Medium,332.44
Nagaland,Tropical Wet,Regenerative Agriculture,162.24,1,2000,73.9,High,319.41
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,46.47,7,900,23.0,Low,41.83
Meghalaya,Tropical Wet,Reforestation,275.28,9,2800,76.3,High,6218.37
Bihar,Humid Subtropical,Reforestation,167.17,7,1100,7.7,Medium,862.7
Tamil Nadu,Tropical Dry,Afforestation,462.8,4,1000,17.4,Medium,1188.62
Rajasthan,Arid,Regenerative Agriculture,269.14,7,500,4.8,Very Low,86.29
Assam,Tropical Wet,Afforestation,247.39,5,2700,34.2,Medium,2453.42
Tripura,Tropical Wet,Regenerative Agriculture,149.34,1,2200,73.7,Medium,295.55
Tripura,Tropical Wet,Regenerative Agriculture,127.63,6,2200,73.7,Medium,415.05
Telangana,Tropical Dry,Regenerative Agriculture,290.69,10,950,24.0,Low,324.21
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,41.09,9,1000,6.1,Medium,62.01
Telangana,Tropical Dry,Afforestation,199.34,8,950,24.0,Low,551.75
Kerala,Tropical Wet,Reforestation,303.54,1,3000,52.3,High,3257.89
Kerala,Tropical Wet,Regenerative Agriculture,79.51,2,3000,52.3,High,258.18
Odisha,Humid Subtropical,Afforestation,379.94,1,1500,33.2,Medium,1185.95
Himachal Pradesh,Subtropical,Afforestation,329.08,2,1600,27.1,Medium,1276.02
Jharkhand,Humid Subtropical,Afforestation,174.02,6,1300,29.6,Medium,762.92
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,289.25,2,1200,25.1,Medium,265.49
Gujarat,Arid,Regenerative Agriculture,161.68,4,800,7.6,Low,51.68
Rajasthan,Arid,Regenerative Agriculture,23.05,3,500,4.8,Very Low,5.29
Rajasthan,Arid,Regenerative Agriculture,117.58,9,500,4.8,Very Low,41.98
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,170.2,7,1200,25.1,Medium,242.03
Maharashtra,Tropical Dry,Afforestation,476.87,9,1100,16.5,Medium,1959.6
Himachal Pradesh,Subtropical,Regenerative Agriculture,163.31,8,1600,27.1,Medium,406.2
Uttar Pradesh,Humid Subtropical,Reforestation,333.11,3,1000,6.1,Medium,1126.95
Jharkhand,Humid Subtropical,Regenerative Agriculture,221.57,3,1300,29.6,Medium,260.9
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,12.11,2,900,23.0,Low,7.0
Tamil Nadu,Tropical Dry,Afforestation,24.89,5,1000,17.4,Medium,72.58
Telangana,Tropical Dry,Afforestation,94.5,8,950,24.0,Low,269.02
Rajasthan,Arid,Afforestation,66.27,5,500,4.8,Very Low,61.14
Himachal Pradesh,Subtropical,Regenerative Agriculture,195.64,3,1600,27.1,Medium,301.88
Chhattisgarh,Humid Subtropical,Reforestation,342.74,6,1400,41.1,Medium,2396.01
Goa,Tropical Wet,Regenerative Agriculture,100.57,6,2900,60.0,High,431.76
Goa,Tropical Wet,Reforestation,361.49,8,2900,60.0,High,7742.11
Tamil Nadu,Tropical Dry,Regenerative Agriculture,231.27,7,1000,17.4,Medium,263.76
Gujarat,Arid,Afforestation,313.82,1,800,7.6,Low,223.85
Goa,Tropical Wet,Afforestation,179.91,6,2900,60.0,High,2331.79
Uttarakhand,Subtropical,Regenerative Agriculture,113.51,2,1800,45.4,High,208.69
Manipur,Subtropical,Regenerative Agriculture,57.65,2,1500,74.3,Medium,78.4
Uttarakhand,Subtropical,Regenerative Agriculture,100.8,3,1800,45.4,High,210.56
Tamil Nadu,Tropical Dry,Reforestation,220.57,1,1000,17.4,Medium,531.54
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,188.63,7,1400,41.1,Medium,318.81
Punjab,Humid Subtropical,Reforestation,231.25,10,700,3.6,Medium,1136.81
Bihar,Humid Subtropical,Afforestation,95.6,3,1100,7.7,Medium,319.39
Karnataka,Tropical Dry,Afforestation,288.84,10,1300,20.1,Medium,1513.93
Bihar,Humid Subtropical,Regenerative Agriculture,193.83,10,1100,7.7,Medium,321.95
Telangana,Tropical Dry,Regenerative Agriculture,65.99,5,950,24.0,Low,50.37
Himachal Pradesh,Subtropical,Afforestation,170.27,2,1600,27.1,Medium,689.48
Odisha,Humid Subtropical,Regenerative Agriculture,156.17,5,1500,33.2,Medium,263.28
Gujarat,Arid,Afforestation,458.58,8,800,7.6,Low,642.37
Jharkhand,Humid Subtropical,Afforestation,22.16,6,1300,29.6,Medium,97.58
Goa,Tropical Wet,Regenerative Agriculture,17.97,7,2900,60.0,High,84.44
Rajasthan,Arid,Regenerative Agriculture,21.79,5,500,4.8,Very Low,6.11
Meghalaya,Tropical Wet,Afforestation,219.31,10,2800,76.3,High,3658.78
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,274.98,8,1400,41.1,Medium,507.15
Maharashtra,Tropical Dry,Regenerative Agriculture,8.06,7,1100,16.5,Medium,9.86
Himachal Pradesh,Subtropical,Reforestation,129.88,1,1600,27.1,Medium,607.23
Meghalaya,Tropical Wet,Regenerative Agriculture,155.51,6,2800,76.3,High,675.03
Arunachal Pradesh,Subtropical,Regenerative Agriculture,10.7,5,2800,79.3,High,35.63
Haryana,Humid Subtropical,Regenerative Agriculture,72.31,6,600,3.6,Low,59.27
Andhra Pradesh,Tropical Dry,Afforestation,182.06,6,900,23.0,Low,428.35
Karnataka,Tropical Dry,Afforestation,294.03,7,1300,20.1,Medium,1256.73
Tripura,Tropical Wet,Regenerative Agriculture,285.97,1,2200,73.7,Medium,585.65
Maharashtra,Tropical Dry,Afforestation,26.68,8,1100,16.5,Medium,101.95
Sikkim,Subtropical,Regenerative Agriculture,185.63,7,2700,47.3,High,777.46
Telangana,Tropical Dry,Regenerative Agriculture,100.54,5,950,24.0,Low,76.01
Bihar,Humid Subtropical,Reforestation,220.16,10,1100,7.7,Medium,1429.31
Punjab,Humid Subtropical,Regenerative Agriculture,260.7,7,700,3.6,Medium,272.63
Meghalaya,Tropical Wet,Regenerative Agriculture,77.16,7,2800,76.3,High,361.97
Manipur,Subtropical,Reforestation,386.83,6,1500,74.3,Medium,3136.05
Maharashtra,Tropical Dry,Reforestation,35.56,4,1100,16.5,Medium,128.54
Bihar,Humid Subtropical,Regenerative Agriculture,178.36,5,1100,7.7,Medium,199.13
Goa,Tropical Wet,Afforestation,368.05,7,2900,60.0,High,4925.0
Karnataka,Tropical Dry,Afforestation,161.31,6,1300,20.1,Medium,616.9
Kerala,Tropical Wet,Reforestation,181.65,4,3000,52.3,High,2725.68
Gujarat,Arid,Afforestation,477.59,8,800,7.6,Low,659.81
Haryana,Humid Subtropical,Regenerative Agriculture,144.66,7,600,3.6,Low,124.31
Uttarakhand,Subtropical,Reforestation,69.88,9,1800,45.4,High,914.45
Arunachal Pradesh,Subtropical,Regenerative Agriculture,182.62,5,2800,79.3,High,666.14
Sikkim,Subtropical,Reforestation,20.09,5,2700,47.3,High,297.06
Karnataka,Tropical Dry,Afforestation,356.37,3,1300,20.1,Medium,1042.95
Gujarat,Arid,Reforestation,25.64,3,800,7.6,Low,26.43
Kerala,Tropical Wet,Reforestation,280.21,4,3000,52.3,High,4237.59
Arunachal Pradesh,Subtropical,Reforestation,135.37,2,2800,79.3,High,1481.12
West Bengal,Humid Subtropical,Regenerative Agriculture,275.48,10,1750,18.9,Medium,733.54
Telangana,Tropical Dry,Regenerative Agriculture,112.12,1,950,24.0,Low,56.34
West Bengal,Humid Subtropical,Regenerative Agriculture,134.19,9,1750,18.9,Medium,342.56
Kerala,Tropical Wet,Reforestation,16.68,3,3000,52.3,High,232.32
West Bengal,Humid Subtropical,Regenerative Agriculture,37.61,7,1750,18.9,Medium,84.44
Punjab,Humid Subtropical,Reforestation,180.11,6,700,3.6,Medium,660.72
Meghalaya,Tropical Wet,Regenerative Agriculture,281.44,6,2800,76.3,High,1265.06
Madhya Pradesh,Humid Subtropical,Afforestation,461.65,2,1200,25.1,Medium,1265.55
Uttarakhand,Subtropical,Reforestation,40.08,5,1800,45.4,High,412.19
Sikkim,Subtropical,Reforestation,301.56,4,2700,47.3,High,3983.48
Arunachal Pradesh,Subtropical,Reforestation,178.79,1,2800,79.3,High,1695.3
Chhattisgarh,Humid Subtropical,Afforestation,181.39,4,1400,41.1,Medium,714.18
Jharkhand,Humid Subtropical,Reforestation,396.11,2,1300,29.6,Medium,1600.52
Bihar,Humid Subtropical,Regenerative Agriculture,79.9,10,1100,7.7,Medium,141.79
Meghalaya,Tropical Wet,Regenerative Agriculture,100.23,8,2800,76.3,High,514.49
Arunachal Pradesh,Subtropical,Afforestation,216.38,4,2800,79.3,High,1918.63
Himachal Pradesh,Subtropical,Afforestation,318.46,7,1600,27.1,Medium,2017.46
Uttar Pradesh,Humid Subtropical,Reforestation,61.06,4,1000,6.1,Medium,243.87
Nagaland,Tropical Wet,Reforestation,53.03,1,2000,73.9,High,457.13
Karnataka,Tropical Dry,Regenerative Agriculture,180.39,5,1300,20.1,Medium,225.77
Meghalaya,Tropical Wet,Regenerative Agriculture,229.95,1,2800,76.3,High,620.77
Goa,Tropical Wet,Afforestation,188.87,1,2900,60.0,High,1485.06
Assam,Tropical Wet,Regenerative Agriculture,7.29,5,2700,34.2,Medium,24.48
Karnataka,Tropical Dry,Regenerative Agriculture,43.53,1,1300,20.1,Medium,35.8
Jharkhand,Humid Subtropical,Afforestation,258.81,2,1300,29.6,Medium,785.79
West Bengal,Humid Subtropical,Reforestation,224.83,2,1750,18.9,Medium,1171.26
Tripura,Tropical Wet,Regenerative Agriculture,191.76,8,2200,73.7,Medium,721.45
Arunachal Pradesh,Subtropical,Afforestation,140.97,7,2800,79.3,High,1656.59
Tripura,Tropical Wet,Afforestation,205.76,8,2200,73.7,Medium,2144.4
Haryana,Humid Subtropical,Reforestation,195.88,1,600,3.6,Low,368.78
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,28.95,9,1000,6.1,Medium,40.0
Sikkim,Subtropical,Afforestation,75.37,7,2700,47.3,High,867.29
Tamil Nadu,Tropical Dry,Reforestation,345.17,10,1000,17.4,Medium,1795.39
Karnataka,Tropical Dry,Regenerative Agriculture,164.39,10,1300,20.1,Medium,301.83
Uttar Pradesh,Humid Subtropical,Afforestation,494.12,6,1000,6.1,Medium,1845.0
Assam,Tropical Wet,Regenerative Agriculture,169.5,8,2700,34.2,Medium,764.45
Assam,Tropical Wet,Regenerative Agriculture,204.3,10,2700,34.2,Medium,1061.27
Chhattisgarh,Humid Subtropical,Afforestation,347.84,9,1400,41.1,Medium,2020.62
Arunachal Pradesh,Subtropical,Afforestation,395.61,10,2800,79.3,High,5725.03
Manipur,Subtropical,Afforestation,64.7,6,1500,74.3,Medium,353.09
Madhya Pradesh,Humid Subtropical,Afforestation,498.8,4,1200,25.1,Medium,1627.06
Bihar,Humid Subtropical,Reforestation,338.61,6,1100,7.7,Medium,1697.59
Kerala,Tropical Wet,Reforestation,145.74,7,3000,52.3,High,2872.2
Uttar Pradesh,Humid Subtropical,Reforestation,256.66,7,1000,6.1,Medium,1237.29
Tripura,Tropical Wet,Afforestation,357.57,1,2200,73.7,Medium,2123.6
Uttarakhand,Subtropical,Regenerative Agriculture,25.5,1,1800,45.4,High,39.88
Arunachal Pradesh,Subtropical,Reforestation,144.62,8,2800,79.3,High,2675.78
Sikkim,Subtropical,Reforestation,47.22,8,2700,47.3,High,863.06
Rajasthan,Arid,Reforestation,149.79,3,500,4.8,Very Low,137.58
Odisha,Humid Subtropical,Regenerative Agriculture,250.66,4,1500,33.2,Medium,372.52
Tripura,Tropical Wet,Reforestation,43.13,1,2200,73.7,Medium,362.14
Mizoram,Tropical Wet,Regenerative Agriculture,40.92,10,2500,84.5,High,219.94
Sikkim,Subtropical,Regenerative Agriculture,58.19,7,2700,47.3,High,238.74
Uttarakhand,Subtropical,Regenerative Agriculture,159.75,5,1800,45.4,High,403.09
Arunachal Pradesh,Subtropical,Regenerative Agriculture,247.39,8,2800,79.3,High,1056.64
Karnataka,Tropical Dry,Regenerative Agriculture,41.24,6,1300,20.1,Medium,54.9
Nagaland,Tropical Wet,Regenerative Agriculture,82.7,3,2000,73.9,High,208.11
Himachal Pradesh,Subtropical,Afforestation,406.11,7,1600,27.1,Medium,2586.46
Sikkim,Subtropical,Regenerative Agriculture,89.56,3,2700,47.3,High,261.72
Bihar,Humid Subtropical,Reforestation,205.78,10,1100,7.7,Medium,1331.35
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,109.86,5,1400,41.1,Medium,172.75
Uttar Pradesh,Humid Subtropical,Reforestation,32.15,4,1000,6.1,Medium,123.09
West Bengal,Humid Subtropical,Afforestation,481.12,6,1750,18.9,Medium,2709.59
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,156.92,1,1000,6.1,Medium,107.83
Himachal Pradesh,Subtropical,Reforestation,267.65,8,1600,27.1,Medium,2348.08
West Bengal,Humid Subtropical,Afforestation,446.72,9,1750,18.9,Medium,3218.87
Mizoram,Tropical Wet,Regenerative Agriculture,54.29,3,2500,84.5,High,178.68
Jharkhand,Humid Subtropical,Regenerative Agriculture,69.15,7,1300,29.6,Medium,114.37
Bihar,Humid Subtropical,Reforestation,168.39,7,1100,7.7,Medium,832.16
Assam,Tropical Wet,Regenerative Agriculture,182.55,10,2700,34.2,Medium,941.19
Punjab,Humid Subtropical,Reforestation,201.94,4,700,3.6,Medium,636.44
Maharashtra,Tropical Dry,Reforestation,44.87,8,1100,16.5,Medium,219.09
Andhra Pradesh,Tropical Dry,Reforestation,138.06,9,900,23.0,Low,515.84
Sikkim,Subtropical,Afforestation,493.23,6,2700,47.3,High,5755.89
Maharashtra,Tropical Dry,Regenerative Agriculture,219.55,8,1100,16.5,Medium,296.93
Tamil Nadu,Tropical Dry,Afforestation,18.1,9,1000,17.4,Medium,67.51
Tamil Nadu,Tropical Dry,Regenerative Agriculture,176.22,2,1000,17.4,Medium,126.72
